frame,channel,frame_type,bits_S,bits_sfc,nonzero,maxAbs,codebook,iterations
186,chr,OLS,1526,290,383,3,5,59
187,chl,OLS,1441,289,335,3,5,59
187,chr,OLS,1466,273,352,3,5,59
188,chl,OLS,1485,323,367,3,5,59
188,chr,OLS,1425,296,346,3,5,59
189,chl,OLS,1525,269,374,3,5,59
189,chr,OLS,1499,303,368,3,5,59
190,chl,OLS,1396,293,331,3,5,59
190,chr,OLS,1391,278,330,3,5,59
191,chl,OLS,1454,266,343,3,5,59
191,chr,OLS,1397,278,335,3,5,59
192,chl,OLS,1375,290,315,4,5,59
192,chr,OLS,1303,286,286,4,5,59
193,chl,OLS,1371,293,328,3,5,59
193,chr,OLS,1404,289,330,3,5,59
194,chl,OLS,1402,300,330,3,5,59
194,chr,OLS,1443,296,348,4,5,59
195,chl,OLS,1419,289,333,3,5,59
195,chr,OLS,1416,284,343,3,5,59
196,chl,OLS,1460,292,351,3,5,59
196,chr,OLS,1334,301,298,3,5,59
197,chl,OLS,1517,294,380,3,5,59
197,chr,OLS,1448,292,353,3,5,59
198,chl,OLS,1468,281,363,3,5,59
198,chr,OLS,1434,270,357,3,5,59
199,chl,OLS,1442,277,342,3,5,59
199,chr,OLS,1437,303,340,3,5,59
200,chl,OLS,1331,322,304,3,5,59
200,chr,OLS,1334,294,306,3,5,59
201,chl,OLS,1401,273,329,4,5,59
201,chr,OLS,1373,283,318,4,5,59
202,chl,OLS,2181,318,334,6,7,59
202,chr,OLS,2142,298,318,6,7,59
203,chl,OLS,2138,315,302,6,7,59
203,chr,OLS,2160,309,321,9,9,59
204,chl,OLS,1393,317,319,4,5,59
204,chr,OLS,2076,323,282,6,7,59
205,chl,OLS,1305,293,291,4,5,59
205,chr,OLS,2608,303,485,6,7,59
206,chl,OLS,1266,318,302,3,5,59
206,chr,OLS,1319,300,319,3,5,59
207,chl,OLS,1428,281,335,3,5,59
207,chr,OLS,1413,300,339,3,5,59
208,chl,OLS,1456,284,351,3,5,59
208,chr,OLS,1326,298,303,3,5,59
209,chl,OLS,1379,300,318,3,5,59
209,chr,OLS,1367,288,312,3,5,59
210,chl,OLS,1309,291,298,3,5,59
210,chr,OLS,1361,306,322,3,5,59
211,chl,OLS,2165,293,345,7,7,59
211,chr,OLS,2151,305,334,9,9,59
212,chl,OLS,2130,320,321,6,7,59
212,chr,OLS,1408,303,342,4,5,59
213,chl,OLS,1367,303,317,3,5,59
213,chr,OLS,1409,289,335,3,5,59
214,chl,OLS,1436,288,353,3,5,59
214,chr,OLS,1427,293,351,3,5,59
215,chl,OLS,1547,284,386,3,5,59
215,chr,OLS,1456,295,358,3,5,59
216,chl,OLS,1414,276,342,3,5,59
216,chr,OLS,1513,270,376,3,5,59
217,chl,OLS,1509,284,373,3,5,59
217,chr,OLS,1474,273,357,3,5,59
218,chl,OLS,1401,293,329,3,5,59
218,chr,OLS,1399,278,327,3,5,59
219,chl,OLS,1455,275,350,3,5,59
219,chr,OLS,2288,280,392,5,7,59
220,chl,OLS,1406,294,334,4,5,59
220,chr,OLS,1411,283,348,3,5,59
221,chl,OLS,1393,323,330,3,5,59
221,chr,OLS,1373,292,322,3,5,59
222,chl,OLS,1415,311,332,3,5,59
222,chr,OLS,1412,308,336,3,5,59
223,chl,OLS,1454,285,357,3,5,59
223,chr,OLS,1380,316,325,3,5,59
224,chl,OLS,1347,291,329,3,5,59
224,chr,OLS,1367,290,341,3,5,59
225,chl,OLS,1404,267,329,3,5,59
225,chr,OLS,1484,270,355,3,5,59
226,chl,OLS,1452,272,346,3,5,59
226,chr,OLS,1357,284,309,3,5,59
227,chl,OLS,1423,267,335,3,5,59
227,chr,OLS,1363,260,323,3,5,59
228,chl,OLS,1375,276,323,3,5,59
228,chr,OLS,1434,259,337,3,5,59
229,chl,OLS,1397,277,335,3,5,59
229,chr,OLS,1440,276,339,3,5,59
230,chl,OLS,1393,267,339,3,5,59
230,chr,OLS,1418,283,357,3,5,59
231,chl,OLS,1457,312,362,3,5,59
231,chr,OLS,1509,298,385,3,5,59
232,chl,OLS,1498,280,376,3,5,59
232,chr,OLS,1404,306,345,3,5,59
233,chl,OLS,1415,269,339,3,5,59
233,chr,OLS,1435,282,349,3,5,59
234,chl,OLS,1346,313,310,3,5,59
234,chr,OLS,1373,308,328,3,5,59
235,chl,OLS,1366,289,306,3,5,59
235,chr,OLS,1421,279,329,3,5,59
236,chl,OLS,2165,284,320,5,7,59
236,chr,OLS,1344,288,300,3,5,59
237,chl,OLS,1404,296,312,4,5,59
237,chr,OLS,1403,286,325,3,5,59
238,chl,OLS,1455,293,339,4,5,59
238,chr,OLS,1409,306,320,3,5,59
239,chl,OLS,1527,336,363,3,5,59
239,chr,OLS,1541,307,359,4,5,59
240,chl,OLS,2200,322,348,6,7,59
240,chr,OLS,1446,291,347,3,5,59
241,chl,OLS,2191,310,346,5,7,59
241,chr,OLS,1444,311,358,3,5,59
242,chl,OLS,2191,317,334,5,7,59
242,chr,OLS,1471,275,349,4,5,59
243,chl,OLS,1452,291,330,3,5,59
243,chr,OLS,1404,289,333,3,5,59
244,chl,OLS,1471,297,349,3,5,59
244,chr,OLS,1419,285,333,3,5,59
245,chl,OLS,2195,331,324,7,7,59
245,chr,OLS,2226,319,355,5,7,59
246,chl,OLS,2221,343,330,6,7,59
246,chr,OLS,1434,330,320,4,5,59
247,chl,OLS,2300,347,359,9,9,59
247,chr,OLS,1517,302,376,3,5,59
248,chl,OLS,2264,344,357,5,7,59
248,chr,OLS,2213,307,355,5,7,59
249,chl,OLS,2229,283,359,5,7,59
249,chr,OLS,1464,310,349,3,5,59
250,chl,OLS,1404,305,343,3,5,59
250,chr,OLS,1397,306,353,3,5,59
251,chl,OLS,1526,273,388,3,5,59
251,chr,OLS,1454,258,363,3,5,59
252,chl,OLS,2400,259,416,6,7,59
252,chr,OLS,1495,263,365,3,5,59
253,chl,OLS,1420,303,326,3,5,59
253,chr,OLS,1439,281,349,3,5,59
254,chl,OLS,1497,307,355,3,5,59
254,chr,OLS,1445,297,341,3,5,59
255,chl,OLS,2244,313,360,5,7,59
255,chr,OLS,1472,337,356,4,5,59
256,chl,OLS,1424,304,337,4,5,59
256,chr,OLS,1460,285,343,3,5,59
257,chl,OLS,1430,300,335,3,5,59
257,chr,OLS,1464,285,349,3,5,59
258,chl,OLS,1384,285,338,3,5,59
258,chr,OLS,1383,295,349,3,5,59
259,chl,OLS,1481,287,350,3,5,59
259,chr,OLS,1405,281,333,3,5,59
260,chl,OLS,1433,292,340,3,5,59
260,chr,OLS,1456,275,350,3,5,59
261,chl,OLS,1481,278,359,3,5,59
261,chr,OLS,1484,289,360,3,5,59
262,chl,OLS,1454,273,347,3,5,59
262,chr,OLS,1404,288,335,3,5,59
263,chl,OLS,1326,300,297,3,5,59
263,chr,OLS,1460,295,360,3,5,59
264,chl,OLS,1406,312,337,3,5,59
264,chr,OLS,1414,296,340,4,5,59
265,chl,OLS,1440,290,341,3,5,59
265,chr,OLS,1398,287,334,3,5,59
266,chl,OLS,1466,317,348,3,5,59
266,chr,OLS,1328,313,302,3,5,59
267,chl,OLS,1365,281,344,3,5,59
267,chr,OLS,1336,283,329,3,5,59
268,chl,OLS,1332,302,298,3,5,59
268,chr,OLS,1298,319,280,3,5,59
269,chl,OLS,1327,290,305,4,5,59
269,chr,OLS,1361,332,309,3,5,59
270,chl,OLS,1348,303,303,4,5,59
270,chr,OLS,1322,295,296,3,5,59
271,chl,OLS,1387,312,320,3,5,59
271,chr,OLS,1358,308,321,3,5,59
272,chl,OLS,1417,325,347,4,5,59
272,chr,OLS,1419,327,329,3,5,59
273,chl,OLS,1403,306,325,4,5,59
273,chr,OLS,2389,301,404,6,7,59
274,chl,OLS,1505,322,359,3,5,59
274,chr,OLS,1350,302,315,3,5,59
275,chl,OLS,1630,275,457,3,5,59
275,chr,OLS,1613,297,431,3,5,59
